resourceRelationshipID	resourceID	relatedResourceID	relationshipOfResource	relationshipOfResourceID	relationshipAccordingTo	relationshipEstablishedDate	relationshipRemarks
CORAL-TRIANGLE:REL:1	CORAL-TRIANGLE:OCC:1	CORAL-TRIANGLE:OCC:2	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Meylan (1988); Meylan & Meylan (2000)		Adult hawksbills: sponge constitutes approximately 95% of gut content volume (figure from Caribbean populations, Meylan 1988; Indo-Pacific corroboration in Meylan & Meylan 2000 and León & Bjorndal 2002 confirms sponge dominance across ocean basins; Coral Triangle prey family proportions not directly measured). Prey span at least 17 sponge families. seasonal:all (year-round reef forager).
CORAL-TRIANGLE:REL:2	CORAL-TRIANGLE:OCC:1	CORAL-TRIANGLE:OCC:5	eats	http://purl.obolibrary.org/obo/RO_0002470	Bjorndal (1997); Limpus (2009)		Juvenile hawksbills in Indo-Pacific seagrass beds prior to recruitment to reef habitat. Adult hawksbills may feed on seagrass opportunistically. CITATION NOTE: Bjorndal (1997) is a book chapter (secondary literature); Limpus (2009) is grey literature (Queensland EPA report). seasonal:all.
CORAL-TRIANGLE:REL:3	CORAL-TRIANGLE:OCC:1	CORAL-TRIANGLE:OCC:3	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Mortimer & Donnelly (2008); León & Bjorndal (2002)		INFERRED HABITAT DEPENDENCY: hawksbill depends on structurally complex reef for shelter, prey-search substrate, and navigation. Acropora-dominated reefs support highest sponge biomass density. Interaction inferred from general reef-habitat use patterns; no direct species-pair field study confirmed in Coral Triangle. León & Bjorndal (2002) documents hawksbill as a reef-structure-discriminating predator. seasonal:all.
CORAL-TRIANGLE:REL:4	CORAL-TRIANGLE:OCC:8	CORAL-TRIANGLE:OCC:3	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Pratchett (2001); Pratchett et al. (2014)		Outbreak populations of A. planci consume Acropora preferentially; documented to remove 50-90% of live coral cover in outbreak years across Coral Triangle reef systems. seasonal:all.
CORAL-TRIANGLE:REL:5	CORAL-TRIANGLE:OCC:7	CORAL-TRIANGLE:OCC:4	eats	http://purl.obolibrary.org/obo/RO_0002470	Bellwood et al. (2006); Hoey & Bellwood (2008)		Scraper/excavator functional role: removes macroalgae and erodes dead coral substrate, creating settlement surface for coral recruits. Critical for reef recovery post-bleaching or post-COTS outbreak. seasonal:all.
CORAL-TRIANGLE:REL:6	CORAL-TRIANGLE:OCC:6	CORAL-TRIANGLE:OCC:4	eats	http://purl.obolibrary.org/obo/RO_0002470	Bellwood et al. (2004); Hughes (1994); McClanahan & Shafir (1990)		Sea urchin grazing complements parrotfish herbivory in controlling macroalgae. D. setosum is the principal urchin herbivore on Indo-Pacific reefs maintaining open-substrate patches for coral recruitment (Bellwood et al. 2004). Hughes (1994) documents the causal mechanism via Caribbean D. antillarum removal; D. setosum is the Indo-Pacific functional analogue. McClanahan & Shafir (1990) documents D. setosum dominant urchin herbivore role in Indian Ocean reef lagoons. seasonal:all.
CORAL-TRIANGLE:REL:7	CORAL-TRIANGLE:OCC:4	CORAL-TRIANGLE:OCC:3	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Rasher & Hay (2010); Barott et al. (2012); Bellwood et al. (2004)		Lobophora variegata overgrowing and chemically inhibiting Acropora recruitment; causes phase-shift from coral to algal dominance when herbivores are depleted. GEOGRAPHIC NOTE: Rasher & Hay (2010) is Caribbean (US Virgin Islands); Barott et al. (2012) is Line Islands (Central Pacific). Indo-Pacific applicability via Bellwood et al. (2004) synthesis and Hughes et al. (2007). seasonal:all.
CORAL-TRIANGLE:REL:8	CORAL-TRIANGLE:OCC:9	CORAL-TRIANGLE:OCC:1	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Gilman et al. (2010); Hamann et al. (2010)		Incidental capture in longline, trawl, and artisanal fisheries across the Coral Triangle. Hawksbill drowning in gillnets documented in Philippines, Indonesia, Papua New Guinea. seasonal:all. IMPLEMENTATION NOTE: REL:8, REL:9, REL:10 share relationship type; distinct by unique resourceRelationshipID values.
CORAL-TRIANGLE:REL:9	CORAL-TRIANGLE:OCC:9	CORAL-TRIANGLE:OCC:1	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	TRAFFIC (2019); Mortimer & Donnelly (2008)		Directed take for bekko (tortoiseshell) products; ongoing despite CITES Appendix I listing since 1977. Trade primarily routes through East Asian markets. seasonal:all.
CORAL-TRIANGLE:REL:10	CORAL-TRIANGLE:OCC:9	CORAL-TRIANGLE:OCC:1	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Mortimer & Donnelly (2008)		Subsistence and commercial collection of hawksbill eggs from nesting beaches across the Coral Triangle; documented in Philippines (Palawan), Indonesia (Kalimantan, Papua), and Solomon Islands. Harvesting rates vary widely by site. seasonal:dry (nesting season, May-October).
